,id,links,name_of_product,price_of_product
93,29,//static.clickbd.com/global/classified/item_img/2635417_0_large.jpg,Women Exclusive High Heel Imported Shoe,2000
94,0,https://images.othoba.com/images/thumbs/0312347_walkar-ladies-sandal-blue_300.jpeg,Walkar Ladies Sandal-Blue,405
95,1,https://images.othoba.com/images/thumbs/0312338_walkar-ladies-sandal-pink_300.jpeg,Walkar Ladies Sandal-Pink,351
96,2,https://images.othoba.com/images/thumbs/0312328_walkar-ladies-sandal-maroon_300.jpeg,Walkar Ladies Sandal-Maroon,405
97,3,https://images.othoba.com/images/thumbs/0312269_walkar-mens-canvas-denim-blue_300.jpeg,Walkar Men's Canvas Denim Blue,531
98,4,https://images.othoba.com/images/thumbs/0310200_walkar-ladies-canvas-black_300.jpeg,Walkar Ladies Canvas Black,351
99,5,https://images.othoba.com/images/thumbs/0310190_walkar-ladies-sandal-blue_300.jpeg,Walkar Ladies Sandal-Blue,351
100,6,https://images.othoba.com/images/thumbs/0310182_walkar-ladies-sandal-blue_300.jpeg,Walkar Ladies Sandal-Blue,351
101,7,https://images.othoba.com/images/thumbs/0310175_walkar-ladies-sandal-maroon_300.jpeg,Walkar Ladies Sandal-Maroon,405
102,8,https://images.othoba.com/images/thumbs/0301273_mens-velvet-tassel_300.jpeg,Men's Velvet Tassel,3500
103,9,https://images.othoba.com/images/thumbs/0295737_walkar-ladies-sandal-with-heel_300.jpeg,Walkar Ladies Sandal with Heel,644
104,10,https://images.othoba.com/images/thumbs/0295730_walkar-ladies-sandal-with-heel_300.jpeg,Walkar Ladies Sandal with Heel,644
105,11,https://images.othoba.com/images/thumbs/0295724_walkar-ladies-flat-back-belt-sandal_300.jpeg,Walkar Ladies Flat-Back Belt Sandal,380
106,12,https://images.othoba.com/images/thumbs/0295708_walkar-ladies-medicated-flat-sandal_300.jpeg,Walkar Ladies Medicated-Flat Sandal,630
107,13,https://images.othoba.com/images/thumbs/0295701_walkar-ladies-flat-back-belt-sandal_300.jpeg,Walkar Ladies Flat-Back Belt Sandal,380
108,14,https://images.othoba.com/images/thumbs/0296767_walkar-ladies-flat-back-belt-sandal_300.jpeg,Walkar Ladies Flat-Back Belt Sandal,380
109,15,https://images.othoba.com/images/thumbs/0295681_walkar-ladies-flat-back-belt-sandal_300.jpeg,Walkar Ladies Flat-Back Belt Sandal,483
110,16,https://images.othoba.com/images/thumbs/0294757_walkar-mens-moccasin-black_300.jpeg,Walkar Men's Moccasin Black,2331
111,17,https://images.othoba.com/images/thumbs/0294751_walkar-mens-moccasin-brown_300.jpeg,Walkar Men's Moccasin Brown,2331
112,18,https://images.othoba.com/images/thumbs/0294749_walkar-ladies-canvas-purple-d-6x_300.jpeg,Walkar Ladies Canvas Purple (D-6x),351
113,19,https://images.othoba.com/images/thumbs/0294747_walkar-ladies-canvas-school-black-d-8x_300.jpeg,Walkar Ladies Canvas School Black (D-8x),441
114,20,https://images.othoba.com/images/thumbs/0294740_mens-formal-shoe-brown_300.jpeg,Men's Formal Shoe Brown,1791
115,21,https://images.othoba.com/images/thumbs/0294735_mens-formal-shoe-black_300.jpeg,Men's Formal Shoe Black,1791
116,22,https://images.othoba.com/images/thumbs/0297418_mens-formal-shoe-brown_300.jpeg,Men's Formal Shoe Brown,2691
117,23,https://images.othoba.com/images/thumbs/0297412_mens-formal-shoe-black_300.jpeg,Men's Formal Shoe Black,2691
118,24,https://images.othoba.com/images/thumbs/0273828_walkar-ladies-sports-shoe_300.jpeg,Walkar Ladies Sports Shoe,995
119,25,https://images.othoba.com/images/thumbs/0227837_walkar-ladies-sandal-brown_300.jpeg,Walkar Ladies Sandal Brown,1251
120,26,https://images.othoba.com/images/thumbs/0227831_walkar-ladies-sandal-black_300.jpeg,Walkar Ladies Sandal Black,968
121,27,https://images.othoba.com/images/thumbs/0227825_walkar-ladies-sandal-maroon_300.jpeg,Walkar Ladies Sandal Maroon,891
122,28,https://images.othoba.com/images/thumbs/0227819_walkar-ladies-sandal-brown_300.jpeg,Walkar Ladies Sandal Brown,891
123,29,https://images.othoba.com/images/thumbs/0227813_walkar-ladies-sandal-pink_300.jpeg,Walkar Ladies Sandal Pink,675
